Maltese,English,mt_tokens,en_tokens
"Fl-4 ta' Mejju, il-viżitaturi tal-Kunsill fi Brussell se jkollhom l-opportunità jimxu fuq il-passi tal-mexxejja tal-UE.","On 4 May, at the Council in Brussels, visitors will have the opportunity to walk in the footsteps of EU leaders.","['Fl-4', 'ta', ""'"", 'Mejju', ',', 'il', '-', 'viżitaturi', 'tal', '-', 'Kunsill', 'fi', 'Brussell', 'se', 'jkollhom', 'l', '-', 'opportunità', 'jimxu', 'fuq', 'il', '-', 'passi', 'tal', '-', 'mexxejja', 'tal', '-', 'UE', '.']","['On', '4', 'May', ',', 'at', 'the', 'Council', 'in', 'Brussels', ',', 'visitors', 'will', 'have', 'the', 'opportunity', 'to', 'walk', 'in', 'the', 'footsteps', 'of', 'EU', 'leaders', '.']"
L-assemblea tar-reġjuni u l-bliet tal-UE se tiftaħ il-bini tagħha fi Brussell fl-4 ta' Mejju biex tlaqqa' liċ-ċittadini flimkien mal-politiċi eletti reġjonali u lokali.,The EU's assembly of regions and cities will open its Brussels premises on 4 May to bring citizens together with regional and local elected politicians.,"['L', '-', 'assemblea', 'tar', '-', 'reġjuni', 'u', 'l', '-', 'bliet', 'tal', '-', 'UE', 'se', 'tiftaħ', 'il', '-', 'bini', 'tagħha', 'fi', 'Brussell', 'fl-4', 'ta', ""'"", 'Mejju', 'biex', 'tlaqqa', ""'"", 'liċ', '-', 'ċittadini', 'flimkien', 'mal', '-', 'politiċi', 'eletti', 'reġjonali', 'u', 'lokali', '.']","['The', 'EU', ""'s"", 'assembly', 'of', 'regions', 'and', 'cities', 'will', 'open', 'its', 'Brussels', 'premises', 'on', '4', 'May', 'to', 'bring', 'citizens', 'together', 'with', 'regional', 'and', 'local', 'elected', 'politicians', '.']"
"Inizjalment, il-proġett Eurizon antiċipa li jirċievi massimu ta' 70 applikazzjoni u kien mistenni li jappoġġa madwar 22 tim, li jammontaw għal madwar 90 riċerkatur, b'baġit ta' EUR 1.5 miljun.","Initially, the EURIZON project anticipated receiving a maximum of 70 applications and expected to support around 22 teams, totalling approximately 90 researchers, with a budget of €1.5 million.","['Inizjalment', ',', 'il', '-', 'proġett', 'Eurizon', 'antiċipa', 'li', 'jirċievi', 'massimu', 'ta', ""'"", '70', 'applikazzjoni', 'u', 'kien', 'mistenni', 'li', 'jappoġġa', 'madwar', '22', 'tim', ',', 'li', 'jammontaw', 'għal', 'madwar', '90', 'riċerkatur', ',', ""b'baġit"", 'ta', ""'"", 'EUR', '1.5', 'miljun', '.']","['Initially', ',', 'the', 'EURIZON', 'project', 'anticipated', 'receiving', 'a', 'maximum', 'of', '70', 'applications', 'and', 'expected', 'to', 'support', 'around', '22', 'teams', ',', 'totalling', 'approximately', '90', 'researchers', ',', 'with', 'a', 'budget', 'of', '€', '1.5', 'million', '.']"
Il-familji u l-persuni ta' kull età se jkunu jistgħu jitgħallmu kif il-QEA qed tgħin fil-protezzjoni tal-flus taċ-ċittadini tal-UE.,Families and people of all ages will be able to learn how the ECA helps to protect EU citizens' money.,"['Il', '-', 'familji', 'u', 'l', '-', 'persuni', 'ta', ""'"", 'kull', 'età', 'se', 'jkunu', 'jistgħu', 'jitgħallmu', 'kif', 'il', '-', 'QEA', 'qed', 'tgħin', 'fil', '-', 'protezzjoni', 'tal', '-', 'flus', 'taċ', '-', 'ċittadini', 'tal', '-', 'UE', '.']","['Families', 'and', 'people', 'of', 'all', 'ages', 'will', 'be', 'able', 'to', 'learn', 'how', 'the', 'ECA', 'helps', 'to', 'protect', 'EU', 'citizens', ""'"", 'money', '.']"
"Biex ikomplu jaċċelleraw id-diversifikazzjoni tal-provvisti tal-enerġija, l-Istati Membri jistgħu jappoġġaw investimenti għat-tneħħija gradwali tal-fjuwils fossili, b'mod partikolari permezz tal-elettrifikazzjoni, l-effiċjenza enerġetika u l-qlib lejn l-użu tal-idroġenu rinnovabbli u mill-elettriku li jikkonforma ma' ċerti kundizzjonijiet, b'possibbiltajiet estiżi biex tiġi appoġġata d-dekarbonizzazzjoni tal-proċessi industrijali li jaqilbu għal fjuwils derivati mill-idroġenu.","To further accelerate the diversification of energy supplies, Member States can support investments to phase-out from fossil fuels, in particular through electrification, energy efficiency and the switch to the use of renewable and electricity-based hydrogen which complies with certain conditions, with expanded possibilities to support the decarbonisation of industrial processes switching to hydrogen-derived fuels.","['Biex', 'ikomplu', 'jaċċelleraw', 'id', '-', 'diversifikazzjoni', 'tal', '-', 'provvisti', 'tal', '-', 'enerġija', ',', 'l', '-', 'Istati', 'Membri', 'jistgħu', 'jappoġġaw', 'investimenti', 'għat', '-', 'tneħħija', 'gradwali', 'tal', '-', 'fjuwils', 'fossili', ',', ""b'mod"", 'partikolari', 'permezz', 'tal', '-', 'elettrifikazzjoni', ',', 'l', '-', 'effiċjenza', 'enerġetika', 'u', 'l', '-', 'qlib', 'lejn', 'l', '-', 'użu', 'tal', '-', 'idroġenu', 'rinnovabbli', 'u', 'mill', '-', 'elettriku', 'li', 'jikkonforma', 'ma', ""'"", 'ċerti', 'kundizzjonijiet', ',', ""b'possibbiltajiet"", 'estiżi', 'biex', 'tiġi', 'appoġġata', 'd', '-', 'dekarbonizzazzjoni', 'tal', '-', 'proċessi', 'industrijali', 'li', 'jaqilbu', 'għal', 'fjuwils', 'derivati', 'mill', '-', 'idroġenu', '.']","['To', 'further', 'accelerate', 'the', 'diversification', 'of', 'energy', 'supplies', ',', 'Member', 'States', 'can', 'support', 'investments', 'to', 'phase', '-', 'out', 'from', 'fossil', 'fuels', ',', 'in', 'particular', 'through', 'electrification', ',', 'energy', 'efficiency', 'and', 'the', 'switch', 'to', 'the', 'use', 'of', 'renewable', 'and', 'electricity', '-', 'based', 'hydrogen', 'which', 'complies', 'with', 'certain', 'conditions', ',', 'with', 'expanded', 'possibilities', 'to', 'support', 'the', 'decarbonisation', 'of', 'industrial', 'processes', 'switching', 'to', 'hydrogen', '-', 'derived', 'fuels', '.']"
"It-Taqsima 2.1: Ammonti limitati ta' għajnuna, fi kwalunkwe forma sa EUR 280,000 għal kull kumpanija attiva fis-settur agrikolu primarju, u EUR 335,000 għal kumpaniji attivi fis-sajd jew l-akkwakultura sal-31 ta' Diċembru 2024, u sa EUR 2.25 miljun fis-setturi l-oħra kollha sat-30 ta' Ġunju 2024;","Section 2.1: Limited amounts of aid, in any form up to €280,000 per company active in the primary agriculture sector, and €335,000 for companies active in fisheries or aquaculture until 31 December 2024, and up to €2.25 million in all other sectors until 30 June 2024;","['It', '-', 'Taqsima', '2.1', ':', 'Ammonti', 'limitati', 'ta', ""'"", 'għajnuna', ',', 'fi', 'kwalunkwe', 'forma', 'sa', 'EUR', '280,000', 'għal', 'kull', 'kumpanija', 'attiva', 'fis', '-', 'settur', 'agrikolu', 'primarju', ',', 'u', 'EUR', '335,000', 'għal', 'kumpaniji', 'attivi', 'fis', '-', 'sajd', 'jew', 'l', '-', 'akkwakultura', 'sal-31', 'ta', ""'"", 'Diċembru', '2024', ',', 'u', 'sa', 'EUR', '2.25', 'miljun', 'fis', '-', 'setturi', 'l', '-', 'oħra', 'kollha', 'sat-30', 'ta', ""'"", 'Ġunju', '2024', ';']","['Section', '2.1', ':', 'Limited', 'amounts', 'of', 'aid', ',', 'in', 'any', 'form', 'up', 'to', '€', '280,000', 'per', 'company', 'active', 'in', 'the', 'primary', 'agriculture', 'sector', ',', 'and', '€', '335,000', 'for', 'companies', 'active', 'in', 'fisheries', 'or', 'aquaculture', 'until', '31', 'December', '2024', ',', 'and', 'up', 'to', '€', '2.25', 'million', 'in', 'all', 'other', 'sectors', 'until', '30', 'June', '2024', ';']"
"It-Taqsima 2.1, li tippermetti lill-Istati Membri jagħtu ammonti limitati ta' għajnuna, se tiġi eliminata gradwalment sat-30 ta' Ġunju 2024 għas-setturi kollha għajr il-produzzjoni primarja agrikola, is-sajd u l-akkwakultura;","Section 2.1, allowing Member States to grant limited amounts of aid, will phase-out by 30 June 2024 for all sectors other than agricultural primary production, fisheries and aquaculture;","['It', '-', 'Taqsima', '2.1', ',', 'li', 'tippermetti', 'lill', '-', 'Istati', 'Membri', 'jagħtu', 'ammonti', 'limitati', 'ta', ""'"", 'għajnuna', ',', 'se', 'tiġi', 'eliminata', 'gradwalment', 'sat-30', 'ta', ""'"", 'Ġunju', '2024', 'għas', '-', 'setturi', 'kollha', 'għajr', 'il', '-', 'produzzjoni', 'primarja', 'agrikola', ',', 'is', '-', 'sajd', 'u', 'l', '-', 'akkwakultura', ';']","['Section', '2.1', ',', 'allowing', 'Member', 'States', 'to', 'grant', 'limited', 'amounts', 'of', 'aid', ',', 'will', 'phase', '-', 'out', 'by', '30', 'June', '2024', 'for', 'all', 'sectors', 'other', 'than', 'agricultural', 'primary', 'production', ',', 'fisheries', 'and', 'aquaculture', ';']"
"L-avveniment ta' Jum l-Ewropa fil-Parlament Ewropew fl-4 ta' Mejju se jibda b'ċerimonja tal-ftuħ mal-Viċi President Marc Angel (S&D, LU).","The Europe Day event in the European Parliament on 4 May will start with an opening ceremony with Vice-President Marc Angel (S&D, LU).","['L', '-', 'avveniment', 'ta', ""'"", 'Jum', 'l', '-', 'Ewropa', 'fil', '-', 'Parlament', 'Ewropew', 'fl-4', 'ta', ""'"", 'Mejju', 'se', 'jibda', ""b'ċerimonja"", 'tal', '-', 'ftuħ', 'mal', '-', 'Viċi', 'President', 'Marc', 'Angel', '(', 'S&D', ',', 'LU', ')', '.']","['The', 'Europe', 'Day', 'event', 'in', 'the', 'European', 'Parliament', 'on', '4', 'May', 'will', 'start', 'with', 'an', 'opening', 'ceremony', 'with', 'Vice', '-', 'President', 'Marc', 'Angel', '(', 'S&D', ',', 'LU', ')', '.']"
Il-programm sħiħ hu disponibbli hawnhekk.,The full programme is available here.,"['Il', '-', 'programm', 'sħiħ', 'hu', 'disponibbli', 'hawnhekk', '.']","['The', 'full', 'programme', 'is', 'available', 'here', '.']"
15 % ambjent,15% Environment,"['15', '%', 'ambjent']","['15', '%', 'Environment']"
Il-programm sħiħ jinsab hawnhekk.,Full programme here.,"['Il', '-', 'programm', 'sħiħ', 'jinsab', 'hawnhekk', '.']","['Full', 'programme', 'here', '.']"
"Barra minn hekk, l-UE impenjat ruħha li tipprovdi assistenza speċifika u prattika oħra lill-komunità tar-riċerka u l-innovazzjoni tal-Ukrajna.","Furthermore, the EU has committed to providing other specific, practical assistance to the Ukrainian research and innovation community.","['Barra', 'minn', 'hekk', ',', 'l', '-', 'UE', 'impenjat', 'ruħha', 'li', 'tipprovdi', 'assistenza', 'speċifika', 'u', 'prattika', 'oħra', 'lill', '-', 'komunità', 'tar', '-', 'riċerka', 'u', 'l', '-', 'innovazzjoni', 'tal', '-', 'Ukrajna', '.']","['Furthermore', ',', 'the', 'EU', 'has', 'committed', 'to', 'providing', 'other', 'specific', ',', 'practical', 'assistance', 'to', 'the', 'Ukrainian', 'research', 'and', 'innovation', 'community', '.']"
Il-programm sħiħ jinsab hawnhekk.,Full programme here.,"['Il', '-', 'programm', 'sħiħ', 'jinsab', 'hawnhekk', '.']","['Full', 'programme', 'here', '.']"
It-Taqsima 2.4: Għajnuna biex tagħti kumpens għall-prezzijiet għoljin tal-enerġija.,Section 2.4: Aid to compensate for high energy prices.,"['It', '-', 'Taqsima', '2.4', ':', 'Għajnuna', 'biex', 'tagħti', 'kumpens', 'għall', '-', 'prezzijiet', 'għoljin', 'tal', '-', 'enerġija', '.']","['Section', '2.4', ':', 'Aid', 'to', 'compensate', 'for', 'high', 'energy', 'prices', '.']"
"Il-Qafas Temporanju ta' Għajnuna mill-Istat għall-Kriżijiet, li ġie adottat fit-23 ta' Marzu 2022, ippermetta li l-Istati Membri jużaw il-flessibbiltà prevista skont ir-regoli dwar l-għajnuna mill-Istat biex jappoġġaw l-ekonomija fil-kuntest tal-gwerra tar-Russja kontra l-Ukrajna.","The State aid Temporary Crisis Framework, adopted on 23 March 2022, enabled Member States to use the flexibility foreseen under State aid rules to support the economy in the context of Russia's war against Ukraine.","['Il', '-', 'Qafas', 'Temporanju', 'ta', ""'"", 'Għajnuna', 'mill', '-', 'Istat', 'għall', '-', 'Kriżijiet', ',', 'li', 'ġie', 'adottat', 'fit-23', 'ta', ""'"", 'Marzu', '2022', ',', 'ippermetta', 'li', 'l', '-', 'Istati', 'Membri', 'jużaw', 'il', '-', 'flessibbiltà', 'prevista', 'skont', 'ir', '-', 'regoli', 'dwar', 'l', '-', 'għajnuna', 'mill', '-', 'Istat', 'biex', 'jappoġġaw', 'l', '-', 'ekonomija', 'fil', '-', 'kuntest', 'tal', '-', 'gwerra', 'tar', '-', 'Russja', 'kontra', 'l', '-', 'Ukrajna', '.']","['The', 'State', 'aid', 'Temporary', 'Crisis', 'Framework', ',', 'adopted', 'on', '23', 'March', '2022', ',', 'enabled', 'Member', 'States', 'to', 'use', 'the', 'flexibility', 'foreseen', 'under', 'State', 'aid', 'rules', 'to', 'support', 'the', 'economy', 'in', 'the', 'context', 'of', 'Russia', ""'s"", 'war', 'against', 'Ukraine', '.']"
